Player,Team,Position,Mean,Standard Deviation,FPPM
E'Twaun Moore,18.0,blue,17.3821917808,6.59272204922,0.697538376302
Ed Davis,24.0,purple,13.4571428571,6.78693662198,0.731060093753
Edy Tavares,2.5,yellow,16.35,15.1843120797,1.05902777778
Elfrid Payton,21.0,red,29.2914634146,12.6967401398,0.977444487621
Elijah Millsap,23.0,blue,4.85,2.75771644663,0.426222554891
Emmanuel Mudiay,7.0,red,21.362962963,11.2688633686,0.808859011381
Enes Kanter,20.0,yellow,24.0472222222,9.73683252748,1.11425429905
Eric Bledsoe,23.0,red,37.4696969697,11.6304635756,1.12640223429
Eric Gordon,10.0,blue,25.6026666667,7.96010276542,0.836110723164
Ersan Ilyasova,14.9512195122,purple,24.106097561,9.11622031722,0.909936189777
Evan Fournier,21.0,blue,26.2323529412,8.51892434483,0.787866795304
Evan Turner,24.0,green,19.553125,7.4458035214,0.752398854626
Frank Kaminsky,3.0,yellow,22.1626666667,9.90314955815,0.842768095498
Fred VanVleet,27.0,red,8.31071428571,7.16702010941,0.816478387953
Garrett Temple,25.0,blue,18.0625,6.83333333333,0.679089789922
Gary Harris,7.0,blue,25.3701754386,9.83356069998,0.786263579951
Gary Neal,0.0,blue,3.35,4.73761543395,0.263089005236
Gary Payton,16.0,red,11.68,6.60545229337,0.586757610791
George Hill,28.0,red,28.9673469388,10.3599667743,0.925620348624
Georges Niang,11.0,purple,2.81176470588,2.59900999251,0.781633763869
Georgios Papagiannis,25.0,yellow,15.1777777778,7.84403524271,0.867861574637
Gerald Green,1.0,green,9.68444444444,6.79444811979,0.771427080748
Gerald Henderson,22.0,blue,15.7013888889,7.24431769657,0.652496926934
Giannis Antetokounmpo,16.0,green,45.96875,12.4528944706,1.28989786959
Glenn Robinson,11.0,green,13.3388059701,7.84211542317,0.635735812867
Goran Dragic,15.0,red,34.2849315068,9.22679779581,1.02116252996
Gordon Hayward,28.0,green,35.2369863014,9.90338756365,1.01822685825
Gorgui Dieng,17.0,purple,25.5658536585,8.27559582745,0.785962253015
Greg Monroe,16.0,yellow,24.5666666667,10.1204495948,1.0845354701
Greivis Vasquez,2.0,red,6.8,3.75898922584,0.539300771193
Harrison Barnes,6.0,purple,28.6303797468,8.3796051928,0.802541602494
Hassan Whiteside,15.0,yellow,38.7285714286,11.2326106206,1.18180068676
Henry Ellenson,8.0,purple,7.0625,8.84351928439,0.783038424359
Hollis Thompson,21.1,blue,11.2225,7.48103044077,0.599003455774
Ian Clark,9.0,blue,11.6373333333,8.12343578845,0.733671147559
Ian Mahinmi,29.0,yellow,16.0607142857,9.11402416652,0.82879289324
Iman Shumpert,5.0,blue,14.9881578947,6.75188797508,0.58310458977
Isaiah Canaan,4.0,blue,9.77352941176,7.08371195381,0.552143473684
Isaiah Taylor,10.0,red,5.03333333333,3.5472994423,0.291882554355
Isaiah Thomas,1.0,red,42.0460526316,8.68746899527,1.24478445918
Isaiah Whitehead,2.0,red,15.0708333333,6.31255037632,0.657329127248
Ish Smith,8.0,red,21.6913580247,9.2492864256,0.888369567917
Ivica Zubac,13.0,yellow,16.15,11.2366619344,0.875116728884
J.J. Barea,6.0,red,21.8514285714,8.05573859865,1.02765512658
J.J. Redick,12.0,blue,21.5346153846,8.12769558758,0.76909842226
